brand,beverage_name,period_friendly,reason,recommended_temp,tags
霸王茶姬,伯牙绝弦热饮,true,原叶茶+真牛奶0奶精0植脂末热饮暖宫无糖版GI=14低糖不加重水肿,热饮55-60°C,低GI|低负担|暖宫|无奶精
霸王茶姬,万里木兰热饮,true,纯原叶茶不另外加糖版热量低热饮助暖咖啡因含量较低,热饮55-60°C,暖身|低热量|茶基底
霸王茶姬,伯牙绝弦冰饮,false,冰饮刺激子宫血管收缩加重痛经冷饮应避免经期,冰饮-禁忌,冷饮禁忌|痛经风险
霸王茶姬,桂馥兰香热饮,true,花香茶底GI=19低GI无糖版热饮适合经期减少血糖波动导致的疲劳,热饮,低GI|花香|低糖
喜茶,纯绿妍茶后热饮,true,无糖纯绿茶热量极低仅10kcal选热饮不加重痛经不含添加糖,热饮,无糖|清淡|轻负担
喜茶,多肉葡萄冰饮,false,冰饮+高糖45.2g双重不利冷刺激子宫+高糖加重水肿疲劳,冰饮-禁忌,高糖|冷饮|双重禁忌
喜茶,酷黑莓桑热饮不加糖,true,莓类富含铁质热饮有助补铁不另外加糖避免血糖波动造成疲劳,热饮,补铁|低糖|热饮
喜茶,满杯红柚热饮,true,天然柚子含维生素C热饮暖身少糖版含糖低助铁吸收,热饮,维生素C|助铁吸收|天然果汁
奈雪的茶,轻柠茶热饮,true,低糖柠檬茶含维生素C助铁吸收热饮暖身含糖<5g/100ml不加重水肿,热饮,维生素C|补铁辅助|低糖
奈雪的茶,冻顶宝藏茶冰饮,false,冰饮+七分糖约35g冷刺激子宫收缩+高糖加重经期水肿,冰饮-禁忌,高糖|冷饮|水肿风险
奈雪的茶,满杯冰淇淋奶茶,false,冰淇淋+高糖+可能有植脂末高脂高糖加重经期不适且为冷饮,冰饮-禁忌,高脂|高糖|冷饮禁忌
茶百道,轻轻玫茉热饮,true,玫瑰茉莉基底有疏肝解郁活血功效三分糖含糖低热饮暖宫缓解痉挛,热饮,玫瑰活血|疏肝|低糖
茶百道,杨枝甘露冰饮,false,高糖30g+冰饮芒果性热但冷饮刺激子宫不推荐经期,冰饮-禁忌,高糖|冷饮|禁忌
茶百道,红糖奶茶热饮,true,红糖含铁质活血化瘀热饮暖身补血经期非常适合红糖+牛奶组合,热饮,红糖补血|活血|暖宫|经期首选
瑞幸咖啡,拿铁热饮,true,牛奶钙质补充+适量咖啡因提神热饮暖身建议少糖版控制咖啡因摄入,热饮,补钙|适量咖啡因|热饮
瑞幸咖啡,生椰拿铁冰饮,false,冰饮+椰奶高脂肪+咖啡因150mg可能加重乳房胀痛经期不推荐,冰饮-禁忌,高咖啡因|高脂|冷饮
瑞幸咖啡,冰美式,false,虽无糖但冰饮+咖啡因200mg高咖啡因可刺激子宫滑肌加重痛经,冰饮-禁忌,高咖啡因|冷饮|痛经风险
蜜雪冰城,热红糖姜茶,true,红糖+生姜驱寒暖宫活血化瘀中医经典经期暖身饮品适合寒性体质,热饮,驱寒|暖宫|活血|经期首选
蜜雪冰城,珍珠奶茶冰饮,false,冰饮+高糖42.5g+珍珠淀粉三重不利加重痛经水肿消化负担,冰饮-禁忌,高糖|冷饮|高淀粉|三重禁忌
蜜雪冰城,热美式,false,咖啡因约150mg虽热饮但高咖啡因摄入可能加重痛经和乳房胀痛,热饮-慎用,高咖啡因|痛经风险|慎用
古茗,红豆抹茶热饮,true,红豆补血利尿减轻经期水肿抹茶咖啡因中等热饮暖身,热饮,红豆补血|利尿消肿|热饮
古茗,杨枝甘露冰饮,false,冰饮+高糖约32g+芒果椰汁高热量冷饮经期禁忌,冰饮-禁忌,高糖|冷饮|高热量
COCO都可,红枣桂圆奶茶热饮,true,红枣桂圆补气血经典经期食材热饮暖宫补铁养血效果好,热饮,补气血|红枣桂圆|养血|经期推荐
COCO都可,芒果冰沙,false,冰沙低温+高果糖+可能含高糖浆经期严格禁忌,冰饮-禁忌,极冷|高糖|严格禁忌
沪上阿姨,红枣枸杞奶茶热饮,true,红枣枸杞补气血枸杞明目养肝经期疲劳改善热饮效果更佳,热饮,红枣枸杞|补气血|养肝|经期推荐
沪上阿姨,桂花糯米茶热饮,true,桂花活血散瘀糯米补虚经期小腹冷痛时适饮建议少糖,热饮,桂花活血|补虚|暖身
乐乐茶,玫瑰乌龙热饮,true,玫瑰花疏肝解郁活血化瘀乌龙茶性平热饮经期情绪调节佳品,热饮,玫瑰疏肝|活血|乌龙茶性平|情绪调节
乐乐茶,芋泥啵啵奶茶冰饮,false,冰饮+芋泥高淀粉+含糖高加重消化负担和经期不适,冰饮-禁忌,高淀粉|冷饮|消化负担
书亦烧仙草,烧仙草红豆热饮,true,仙草有助清热红豆利尿减水肿热饮版适合湿热体质经期少糖选择,热饮,清热|红豆消肿|湿热体质适合
书亦烧仙草,烧仙草冰沙,false,冰饮刺激子宫收缩虽仙草清热但冷饮不适合经期,冰饮-禁忌,冷饮禁忌|子宫收缩
一点点,红豆牛奶热饮,true,红豆补铁利尿牛奶补钙经期营养补充热饮暖身建议少糖,热饮,补铁|补钙|利尿消肿
一点点,多肉柚子冰饮,false,冰饮+果酸+高糖约30g经期胃肠敏感冷饮刺激,冰饮-禁忌,冷饮|高糖|胃肠刺激
星巴克,热拿铁,true,牛奶补钙温热饮品适量咖啡因提神无多余添加热量约150kcal建议无糖,热饮,补钙|温热|低添加
星巴克,星冰乐系列,false,全为冷饮+高糖50-70g+高热量300-530kcal经期严格禁忌,冰饮-禁忌,高糖|冷饮|高热量|严格禁忌
Manner Coffee,热拿铁,true,精品咖啡牛奶组合热饮适量咖啡因无多余添加建议少糖或无糖,热饮,精品咖啡|补钙|热饮
Manner Coffee,冰美式,false,冷饮+高咖啡因经期不推荐可换成热版,冰饮-慎用,冷饮|高咖啡因
Tims咖啡,热燕麦拿铁,true,燕麦奶植物基低乳糖适合乳糖不耐受者热饮暖身建议少糖,热饮,植物基|低乳糖|暖身
Tims咖啡,黑糖珍珠拿铁冰饮,false,冰饮+黑糖珍珠高糖约35g+高淀粉加重经期不适,冰饮-禁忌,高糖|冷饮|高淀粉
